,composition,Energy (eV/atom)
0,Ac,-4.098659038543701
1,Ag,-2.824647903442383
2,Al,-3.735850334167481
3,Ar,-0.0539165511727333
4,As,-4.647340774536133
5,Au,-3.266571283340454
6,B,-6.6771240234375
7,Ba,-1.758235216140747
8,Be,-3.716299533843994
9,Bi,-3.887956142425537
10,Br,-1.6062724590301514
11,C,-9.220256805419922
12,Ca,-2.0019261837005615
13,Cd,-0.8926620483398438
14,Ce,-5.603163719177246
15,Cl,-1.8246628046035769
16,Co,-7.033665657043457
17,Cr,-9.617317199707031
18,Cs,-0.8395380973815918
19,Cu,-4.096424102783203
20,Dy,-4.595725377400716
21,Er,-4.5653862953186035
22,Eu,-10.242759704589844
23,F,-1.4069571495056152
24,Fe,-8.394113540649414
25,Ga,-3.038917064666748
26,Gd,-14.050764083862305
27,Ge,-4.616283416748047
28,H,-3.2251296043395996
29,He,-0.0185503959655761
30,Hf,-9.957945823669434
31,Hg,-0.2874404972997205
32,Ho,-4.573581059773763
33,I,-1.5465099811553955
34,In,-2.717345952987671
35,Ir,-8.8644380569458
36,K,-1.059562921524048
37,Kr,-0.011934757232666
38,La,-4.919041633605957
39,Li,-1.8943661053975425
40,Lu,-4.525212287902832
41,Mg,-1.6254417101542156
42,Mn,-9.149435109105603
43,Mo,-10.841083526611328
44,N,-8.173012733459473
45,Na,-1.2971333265304563
46,Nb,-10.101977348327637
47,Nd,-4.755043983459473
48,Ne,-0.0273820534348487
49,Ni,-5.75480842590332
50,Np,-12.959585189819336
51,O,-4.7232513427734375
52,Os,-11.222414016723633
53,P,-5.404969714936756
54,Pa,-9.5045804977417
55,Pb,-3.6892282962799072
56,Pd,-5.177385330200195
57,Pm,-4.735551357269287
58,Pr,-4.76426887512207
59,Pt,-6.049842357635498
60,Pu,-14.283587455749512
61,Rb,-0.9600709279378256
62,Re,-12.43824291229248
63,Rh,-7.337106227874756
64,Ru,-9.268754959106444
65,S,-4.11405595143636
66,Sb,-4.130682627360026
67,Sc,-6.321244239807129
68,Se,-3.481044133504232
69,Si,-5.43184757232666
70,Sm,-4.695077419281006
71,Sn,-4.003880500793457
72,Sr,-1.6761043071746826
73,Ta,-11.862224578857422
74,Tb,-4.619057973225911
75,Tc,-10.35658836364746
76,Te,-3.1446990966796875
77,Th,-7.411539554595947
78,Ti,-7.835231145222981
79,Tl,-2.3461673259735107
80,Tm,-4.481407642364502
81,U,-11.29299545288086
82,V,-9.080398559570312
83,W,-12.93947982788086
84,Xe,-0.0294599533081054
85,Y,-6.468597888946533
86,Yb,-1.5115363597869873
87,Zn,-1.2629753351211548
88,Zr,-8.557244618733725
